# civil-holidays v1
# jurisdiction: SX
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Sint_Maarten
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in nl via vacanza's own language support (language='nl'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Nieuwjaarsdag                            | 1 1                  | public          |  |  |  |
easter        | Goede Vrijdag                            | -2 gregorian         | public          |  |  |  |
easter        | Eerste paasdag                           | 0 gregorian          | public          |  |  |  |
easter        | Tweede paasdag                           | 1 gregorian          | public          |  |  |  |
decree        | Koningsdag                               | 2024-4-27 2025-4-26 2026-4-27 2027-4-27  | public          |  |  |  |
fixed         | Carnavalsdag                             | 4 30                 | public          |  |  |  |
fixed         | Dag van de Arbeid                        | 5 1                  | public          |  |  |  |
easter        | Hemelvaartsdag                           | 39 gregorian         | public          |  |  |  |
easter        | Eerste Pinksterdag                       | 49 gregorian         | public          |  |  |  |
fixed         | Dag van de Bevrijding                    | 7 1                  | public          |  |  |  |
nth_weekday | Dag van de Constitutie | 10 2 0 | public |  |  |  | 
fixed         | Sint-Maartensdag                         | 11 11                | public          |  |  |  |
fixed         | Eerste Kerstdag                          | 12 25                | public          |  |  |  |
fixed         | Tweede Kerstdag                          | 12 26                | public          |  |  |  |
